from_portid,from_portname,from_country,from_iso3,from_lat,from_lon,to_country,to_iso3,to_lat,to_lon,industry,hs_section,unit,scale,daily_export_value_at_risk,daily_import_value_at_risk,source_row_id
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Animal & Animal Products,1,US Dollars,Unit,960054.2811959494,39749.40668817937,1097821
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Chemical & Allied Industries,6,US Dollars,Unit,1133755.3362065598,10193799.137263974,1097822
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Machinery & Electrical Equipment,16+18,US Dollars,Unit,795581.7307067545,753787.8957992566,1097823
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Metals,15,US Dollars,Unit,1955203.4415977122,1342173.4757005055,1097824
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Mineral Products,5,US Dollars,Unit,1905148.553430804,269252.57457243366,1097825
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Miscellaneous,19+20+21,US Dollars,Unit,120992.51213174408,128918.705556994,1097826
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,186515.64319730687,1790912.7092786636,1097827
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,5346395.904154939,639410.707536639,1097828
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Stone & Glass,13+14,US Dollars,Unit,443610.3952854465,261496.16044650687,1097829
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Textiles & Footwear,11+12,US Dollars,Unit,170595.12345699052,149772.49811153984,1097830
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Total,,US Dollars,Unit,20309089.80934409,15941378.452232774,1097831
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Vegetable Products,2,US Dollars,Unit,5351354.959013238,168332.5016931646,1097832
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Vehicles & Equipment,17,US Dollars,Unit,118404.69373847904,64915.32064717583,1097833
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Brazil,BRA,-11.524630416426652,-54.35520660825642,Wood & Wood Products,9+10,US Dollars,Unit,1821477.2352281664,138857.35893774,1097834
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Germany,DEU,51.08304539800482,10.426171427430804,Animal & Animal Products,1,US Dollars,Unit,2780762.522365337,2142366.259027622,1098060
port57,Antwerp,Belgium,BEL,51.27935494,4.317802311,Germany,DEU,51.08304539800482,10.426171427430804,Chemical & Allied Industries,6,US Dollars,Unit,73140462.24644198,62694341.86837366,1098062
