portid,portname,country,iso3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_roro,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,locode,pageid,countrynoaccents,source_row_id
port1188,Shanghai,China,CHN,Asia & Pacific,"Shanghai, China",31.19179536,121.6441968,41093,12110,13770,5162,1743,8308,Mineral Products,Metals,Wood & Wood Products,7.33,10.44,CN SGH,bde0534e45f346e9b136bc5b185f9789,China,68
port744,Jebel Ali,United Arab Emirates,ARE,Asia & Pacific,"Jebel Ali, United Arab Emirates",24.99941947,55.07781687,7734,4495,464,939,463,1373,Mineral Products,Metals,Chemical & Allied Industries,61.48,34.39,AE JEA,d10ddc98bfee43949a09ea4d790a18f8,United Arab Emirates,71
port1114,Rotterdam,The Netherlands,NLD,Europe,"Rotterdam, The Netherlands",51.92228121,4.215144967,32584,7045,1052,5181,2316,16990,Mineral Products,Chemical & Allied Industries,Vegetable Products,76.05,68.1,NL RTM,eaea80cf75f54d2e924223abc70979f3,The Netherlands,136
port1160,Santos,Brazil,BRA,South America,"Santos, Brazil",-23.91706787,-46.33656353,5258,2026,1791,333,167,941,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,13.47,12.7,BR SSZ,c1acbf26c48b43629974f2253b6f9557,Brazil,587
port57,Antwerp,Belgium,BEL,Europe,"Antwerp, Belgium",51.27935494,4.317802311,22760,4600,567,3137,970,13486,Mineral Products,Chemical & Allied Industries,Metals,83.64,89.26,BE ANR,1a0d6c1d19984931af093eaf41afc684,Belgium,681
port664,Los Angeles-Long Beach,United States,USA,North America,"Los Angeles-Long Beach, United States",33.75569193,-118.2437881,3793,1886,527,122,285,973,Mineral Products,Machinery & Electrical Equipment,Vegetable Products,22.59,5.69,US LAX,d817810889a241f98e33720b2e77ec2c,United States,830
port1201,Singapore,Singapore,SGP,Asia & Pacific,"Singapore, Singapore",1.271989257,103.7074816,44369,13921,810,2039,1322,26277,Mineral Products,Vegetable Products,Chemical & Allied Industries,95.12,95.45,SG SIN,9c50d7b7ca3e4b7690ab89d16029d418,Singapore,1249
port1065,Busan,Korea,KOR,Asia & Pacific,"Busan, Korea",35.08955067,128.9385952,19994,12101,686,3347,417,3443,Mineral Products,Metals,Vegetable Products,17.35,30.77,KR PUS,36944e57fca54f3a881eab5e7796caf6,Korea,1300
